2021-05-14 10:20:42.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"16101844-9bd7-437a-92d9-cfdbc2fe970e","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:42.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"16101844-9bd7-437a-92d9-cfdbc2fe970e","result":"null"}}	
2021-05-14 10:20:45.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"991cc6da-4860-49a8-ab2c-27ba6f340e9c","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:45.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"991cc6da-4860-49a8-ab2c-27ba6f340e9c","result":"null"}}	
2021-05-14 10:20:48.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"2a1ca352-aa83-4c14-bc12-d5a1e0637d0d","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:48.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"2a1ca352-aa83-4c14-bc12-d5a1e0637d0d","result":"null"}}	
2021-05-14 10:20:51.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"39de093a-ef9e-49df-b1d9-884338621970","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:51.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"39de093a-ef9e-49df-b1d9-884338621970","result":"null"}}	
2021-05-14 10:20:54.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"08818776-7355-42ae-ad24-ab9d03af3c70","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:54.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"08818776-7355-42ae-ad24-ab9d03af3c70","result":"null"}}	
2021-05-14 10:20:57.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"67bef0c5-6a62-48c0-bc27-7f00d8b20755","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:20:57.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"67bef0c5-6a62-48c0-bc27-7f00d8b20755","result":"null"}}	
2021-05-14 10:21:00.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"a4c2c333-4486-4314-bf12-27eb8f40fa0e","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:00.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"a4c2c333-4486-4314-bf12-27eb8f40fa0e","result":"null"}}	
2021-05-14 10:21:03.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"3cdebefb-1ff5-49fc-856e-be14c5e8d615","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:03.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"3cdebefb-1ff5-49fc-856e-be14c5e8d615","result":"null"}}	
2021-05-14 10:21:06.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"084958a0-d707-4d32-b83e-22df2d9eca5f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:06.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"084958a0-d707-4d32-b83e-22df2d9eca5f","result":"null"}}	
2021-05-14 10:21:09.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"ce0d6acf-ece3-43a3-a401-11c20b1bef1f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:09.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"ce0d6acf-ece3-43a3-a401-11c20b1bef1f","result":"null"}}	
2021-05-14 10:21:12.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"cb035885-6129-4fa5-abb7-c7f07729f658","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:12.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"cb035885-6129-4fa5-abb7-c7f07729f658","result":"null"}}	
2021-05-14 10:21:15.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"504ba7dd-effb-4eb4-b21c-fe2b55e87e70","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:15.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"504ba7dd-effb-4eb4-b21c-fe2b55e87e70","result":"null"}}	
2021-05-14 10:21:18.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"42f197cc-d5f7-4854-b889-e0eed859bf59","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:18.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"42f197cc-d5f7-4854-b889-e0eed859bf59","result":"null"}}	
2021-05-14 10:21:21.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"d40d201f-be14-428f-85f6-93c6217bf7ed","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:21.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"d40d201f-be14-428f-85f6-93c6217bf7ed","result":"null"}}	
2021-05-14 10:21:24.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"4fcdbddb-7bfe-4874-bfbf-96926b07049e","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:24.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"4fcdbddb-7bfe-4874-bfbf-96926b07049e","result":"null"}}	
2021-05-14 10:21:27.310 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"789c1c2f-6fe1-41cd-9d08-b59f1c6677c8","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:27.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"789c1c2f-6fe1-41cd-9d08-b59f1c6677c8","result":"null"}}	
2021-05-14 10:21:30.312 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"39598308-ba4f-412d-bf86-6c2668abc41f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:30.312 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"39598308-ba4f-412d-bf86-6c2668abc41f","result":"null"}}	
2021-05-14 10:21:33.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"8f524f67-a756-4414-bc9b-94018ea9e4b1","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:33.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"8f524f67-a756-4414-bc9b-94018ea9e4b1","result":"null"}}	
2021-05-14 10:21:36.310 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"8bf7a0db-701f-4021-9732-12e392d45ea5","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:36.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"8bf7a0db-701f-4021-9732-12e392d45ea5","result":"null"}}	
2021-05-14 10:21:39.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f3cf8db4-057c-4e1f-b026-2706c6074c5a","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:39.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f3cf8db4-057c-4e1f-b026-2706c6074c5a","result":"null"}}	
2021-05-14 10:21:42.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"97ebb16e-069c-4767-bb09-4d2e693b2242","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:42.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"97ebb16e-069c-4767-bb09-4d2e693b2242","result":"null"}}	
2021-05-14 10:21:45.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"8831b68b-a799-4bb6-97f8-4adf6256fa37","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:45.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"8831b68b-a799-4bb6-97f8-4adf6256fa37","result":"null"}}	
2021-05-14 10:21:48.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"ad3cbefa-5c52-4838-bc09-fc748973b547","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:48.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"ad3cbefa-5c52-4838-bc09-fc748973b547","result":"null"}}	
2021-05-14 10:21:51.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"e2bb6327-e7cb-4c3f-aa94-744b845d1f54","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:51.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"e2bb6327-e7cb-4c3f-aa94-744b845d1f54","result":"null"}}	
2021-05-14 10:21:54.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f34f8365-6088-464d-9157-b41678ca518e","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:54.305 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f34f8365-6088-464d-9157-b41678ca518e","result":"null"}}	
2021-05-14 10:21:57.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"b86dd025-3058-480b-9565-5ecb0521a771","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:21:57.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"b86dd025-3058-480b-9565-5ecb0521a771","result":"null"}}	
2021-05-14 10:22:00.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"08cc549e-46b1-4c6c-94db-8caa44a48b9f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:00.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"08cc549e-46b1-4c6c-94db-8caa44a48b9f","result":"null"}}	
2021-05-14 10:22:03.310 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"dfe3a782-20f6-4e69-bc82-9f7778231e78","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:03.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"dfe3a782-20f6-4e69-bc82-9f7778231e78","result":"null"}}	
2021-05-14 10:22:06.307 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"e67cf5ca-0c05-4adf-9f3c-c1b28ab5ec40","args":"Emis CSharp says 132654575973122150"}}
